,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_jobs,param_n_neighbors,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
26,0.24035921096801757,13.018447971343994,0.135125,0.13562385103630695,4,2601,"{'n_neighbors': 2601, 'n_jobs': 4}",27,0.13709677419354838,0.13713212273011896,0.13130056004978222,0.13405287032692006,0.132334581772784,0.13347921225382933,0.13684871311989957,0.13438426720774152,0.13808322824716268,0.13907078266292486,0.0030646448638150386,0.10710983393928329,0.0027581254815358803,0.0021335531446648828
27,0.2406522274017334,13.01455044746399,0.132375,0.13259258486652242,4,2701,"{'n_neighbors': 2701, 'n_jobs': 4}",28,0.13089330024813894,0.13478396994364433,0.12881144990665838,0.12967307993117472,0.1317103620474407,0.13097843075961238,0.13433772755806653,0.13157484001872952,0.13619167717528374,0.1359526036794512,0.002656408317825588,0.09652773875695257,0.002595521198456973,0.002377254807674224
28,0.24013819694519042,13.108646059036255,0.129,0.12906143493974187,4,2801,"{'n_neighbors': 2801, 'n_jobs': 4}",29,0.13089330024813894,0.13165309956167814,0.1281891723708774,0.12591897387767872,0.12734082397003746,0.12738355736167553,0.12743251726302574,0.12782893710004684,0.13114754098360656,0.13252260679763017,0.0038243943868098815,0.06299300268007106,0.0016760623358819293,0.0025653780135039654
29,0.23998432159423827,13.122578477859497,0.12575,0.12581031837468154,4,2901,"{'n_neighbors': 2901, 'n_jobs': 4}",30,0.12903225806451613,0.126017532874139,0.1238332296204107,0.12325981542311903,0.12734082397003746,0.12425758049390434,0.12303829252981795,0.12626814421726237,0.12547288776796975,0.12924851886498284,0.0047571239386897,0.10898519862967758,0.002212477780651748,0.002048893613380543
30,0.2434783935546875,13.224525785446167,0.1235,0.12343452239796422,4,3001,"{'n_neighbors': 3001, 'n_jobs': 4}",31,0.1228287841191067,0.12241703193487789,0.12507778469197262,0.12106992022524636,0.12671660424469414,0.12222569552985307,0.12115505335844319,0.12345871702825036,0.12168978562421186,0.1280012472715934,0.004210571819260928,0.12993152787052142,0.00209936192672188,0.002405969830497431
31,0.24065933227539063,13.163536548614502,0.1205,0.12209067177358486,4,3101,"{'n_neighbors': 3101, 'n_jobs': 4}",32,0.11972704714640199,0.12100814026299311,0.12009956440572496,0.11981855154074769,0.12359550561797752,0.12035010940919037,0.12115505335844319,0.12283439987513657,0.11790668348045398,0.12644215777985657,0.003958303621139177,0.09940190386018143,0.0018681960197098509,0.0024021875080873605
32,0.11187591552734374,5.955519723892212,0.117875,0.12005988649313144,4,3201,"{'n_neighbors': 3201, 'n_jobs': 4}",33,0.11972704714640199,0.1192861615529117,0.11761045426260112,0.11903644611293603,0.1229712858926342,0.11738043138480775,0.11424984306340238,0.120181051974403,0.11475409836065574,0.1244153414405987,0.1046230620944146,5.831702740089708,0.00323325716025481,0.0023583989927797736
33,0.025003719329833984,1.2026216983795166,0.115375,0.11815377415648753,4,3301,"{'n_neighbors': 3301, 'n_jobs': 4}",34,0.11414392059553351,0.11803381340012524,0.11636589919103921,0.11637728765837635,0.11922596754057428,0.1156611441075336,0.11487758945386065,0.11830810051506165,0.11223203026481715,0.12238852510134082,0.0030038518800744366,0.01021015547688897,0.0023409291890756903,0.002338393962183148
34,0.026343441009521483,1.2699059963226318,0.11375,0.11634141153850477,4,3401,"{'n_neighbors': 3401, 'n_jobs': 4}",35,0.11166253101736973,0.11615529117094553,0.11512134411947729,0.11450023463162834,0.11860174781523096,0.11441075336042514,0.11424984306340238,0.11627906976744186,0.10907944514501891,0.12036170876208295,0.003148699776930071,0.04567828379692291,0.003216204629513609,0.002159568959609806
35,0.02498517036437988,1.2561344146728515,0.113,0.1148102458384779,4,3501,"{'n_neighbors': 3501, 'n_jobs': 4}",36,0.11104218362282878,0.1142767689417658,0.11449906658369632,0.11356170811825433,0.11860174781523096,0.11284776492653954,0.11173885750156937,0.11471827688465741,0.10907944514501891,0.11864671032117244,0.0031332233632495755,0.008485416406950622,0.0032971929377119224,0.0020209746848148563
36,0.026065778732299805,1.2727981090545655,0.1125,0.1132170978061349,4,3601,"{'n_neighbors': 3601, 'n_jobs': 4}",37,0.10794044665012408,0.11349405134627426,0.11512134411947729,0.11215391834819334,0.11860174781523096,0.11081587996248828,0.11236660389202763,0.1133135632901514,0.10844892812105926,0.11630807608356719,0.0031849091695569575,0.023500048138261072,0.004035099094413717,0.0018185902923416482
37,0.024759960174560548,1.3050360679626465,0.11075,0.11127888072803864,4,3701,"{'n_neighbors': 3701, 'n_jobs': 4}",38,0.10794044665012408,0.11098935504070132,0.11200995644057249,0.10949475989363366,0.11610486891385768,0.10894029384182559,0.1098556183301946,0.11222100827220229,0.10781841109709962,0.11474898659183037,0.0033237696459288415,0.008141729653549196,0.0030845785731250207,0.00208159265540342
38,0.02591695785522461,1.3252232551574707,0.10775,0.10912293848265564,4,3801,"{'n_neighbors': 3801, 'n_jobs': 4}",39,0.10359801488833749,0.10864120225422667,0.11014312383322962,0.10808697012357266,0.11235955056179775,0.10722100656455143,0.10860012554927809,0.10894334321835493,0.10403530895334175,0.1127221702525725,0.003445008237420121,0.02829547391715598,0.003429070633642814,0.001892583897661804
39,0.024706363677978516,1.3550026893615723,0.106625,0.10731011217752398,4,3901,"{'n_neighbors': 3901, 'n_jobs': 4}",40,0.10359801488833749,0.10676268002504696,0.11014312383322962,0.10542781166901298,0.1111111111111111,0.10565801813066583,0.10671688637790333,0.10785078820040579,0.10151324085750317,0.11085126286248831,0.003574296525963117,0.01013878838903599,0.003680296267173176,0.001969986326902456
